"Country or Area","Year","Area","Duration of marriage","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Albania","1991","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1992","2236",""
"Albania","1991","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1992","518",""
"Albania","1991","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1992","512",""
"Albania","1991","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1992","534",""
"Albania","1991","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1992","366",""
"Albania","1991","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1992","306",""
"Albania","1991","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1992","0",""
"Albania","1990","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1991","2675",""
"Albania","1990","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1991","652",""
"Albania","1990","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1991","525",""
"Albania","1990","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1991","688",""
"Albania","1990","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1991","459",""
"Albania","1990","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1991","351",""
"Albania","1990","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1991","0",""
"Albania","1989","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1990","2628",""
"Albania","1989","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1990","641",""
"Albania","1989","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1990","562",""
"Albania","1989","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1990","699",""
"Albania","1989","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1990","432",""
"Albania","1989","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1990","294",""
"Albania","1988","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","2597",""
"Albania","1988","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1989","642",""
"Albania","1988","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1989","542",""
"Albania","1988","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1989","705",""
"Albania","1988","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1989","402",""
"Albania","1988","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1989","306",""
"Albania","1988","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1989","0",""
"Albania","1987","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","2537",""
"Albania","1987","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1989","620",""
"Albania","1987","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1989","521",""
"Albania","1987","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1989","676",""
"Albania","1987","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1989","403",""
"Albania","1987","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1989","317",""
"Albania","1987","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1989","0",""
"Albania","1986","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","2383",""
"Albania","1986","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1989","615",""
"Albania","1986","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1989","471",""
"Albania","1986","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1989","656",""
"Albania","1986","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1989","319",""
"Albania","1986","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1989","322",""
"Albania","1986","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1989","0",""
"Albania","1985","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","2451",""
"Albania","1985","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1989","591",""
"Albania","1985","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1989","528",""
"Albania","1985","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1989","683",""
"Albania","1985","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1989","370",""
"Albania","1985","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1989","279",""
"Albania","1985","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1989","0",""
"Albania","1984","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1989","2335",""
"Albania","1984","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1989","620",""
"Albania","1984","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1989","497",""
"Albania","1984","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1989","576",""
"Albania","1984","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1989","352",""
"Albania","1984","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1989","290",""
"Albania","1984","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1989","0",""
"Albania","1983","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1987","2371",""
"Albania","1983","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1987","666",""
"Albania","1983","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1987","483",""
"Albania","1983","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1987","567",""
"Albania","1983","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1987","382",""
"Albania","1983","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1987","273",""
"Albania","1983","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1987","0",""
"Albania","1982","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1987","2206",""
"Albania","1982","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1987","526",""
"Albania","1982","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1987","474",""
"Albania","1982","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1987","545",""
"Albania","1982","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1987","369",""
"Albania","1982","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1987","292",""
"Albania","1982","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1987","0",""
"Albania","1981","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1985","2222",""
"Albania","1981","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1985","496",""
"Albania","1981","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1985","479",""
"Albania","1981","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1985","568",""
"Albania","1981","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1985","373",""
"Albania","1981","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1985","306",""
"Albania","1981","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1985","0",""
"Albania","1980","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1985","2024",""
"Albania","1980","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1985","444",""
"Albania","1980","Total","1 - 2","Data tabulated by year of occurrence","Final figure, complete","1985","400",""
"Albania","1980","Total","3 - 4","Data tabulated by year of occurrence","Final figure, complete","1985","545",""
"Albania","1980","Total","5 - 9","Data tabulated by year of occurrence","Final figure, complete","1985","355",""
"Albania","1980","Total","10 +","Data tabulated by year of occurrence","Final figure, complete","1985","280",""
"Albania","1980","Total","Not stated","Data tabulated by year of occurrence","Final figure, complete","1985","0",""
"Albania","1979","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1983","1849",""
"Albania","1979","Total","Less than 1","Data tabulated by year of occurrence","Final figure, complete","1983","361",""
