country,year,duration_std,value,total_value,percent_of_total
Austria,2023,0-1,208,14721,0.014129474899803002
Austria,2023,0-1,649,14721,0.04408667889409687
Austria,2023,1-2,683,14721,0.04639630459887236
Austria,2023,3-4,825,14721,0.056042388424699406
Austria,2023,3-4,950,14721,0.06453365939813871
Austria,2023,5-9,872,14721,0.05923510631071259
Austria,2023,5-9,787,14721,0.05346104204877386
Austria,2023,5-9,757,14721,0.051423137015148425
Austria,2023,5-9,738,14721,0.050132463827185655
Austria,2023,5-9,625,14721,0.042456354867196525
Austria,2023,10+,2578,14721,0.1751239725562122
Austria,2023,10+,1913,14721,0.1299504109775151
Austria,2023,10+,1245,14721,0.08457305889545547
Austria,2023,10+,1891,14721,0.1284559472861898
Austria,2019,0-1,306,16319,0.018751148967461242
Austria,2019,0-1,742,16319,0.04546847233286353
Austria,2019,1-2,985,16319,0.06035909063055334
Austria,2019,3-4,1098,16319,0.0672835345303021
Austria,2019,3-4,944,16319,0.057846681781971936
Austria,2019,5-9,789,16319,0.04834855076904222
Austria,2019,5-9,841,16319,0.05153502052821864
Austria,2019,5-9,746,16319,0.04571358539126172
Austria,2019,5-9,706,16319,0.04326245480727986
Austria,2019,5-9,693,16319,0.04246583736748575
Austria,2019,10+,2722,16319,0.16679943623996568
Austria,2019,10+,2001,16319,0.12261780746369262
Austria,2019,10+,1545,16319,0.0946749188062994
Austria,2019,10+,2201,16319,0.13487346038360193
Austria,2018,0-1,244,16304,0.014965652600588812
Austria,2018,0-1,779,16304,0.047779685966633956
Austria,2018,1-2,977,16304,0.059923945044160945
Austria,2018,3-4,1038,16304,0.06366535819430814
Austria,2018,3-4,954,16304,0.05851324828263003
Austria,2018,5-9,866,16304,0.053115799803729144
Austria,2018,5-9,836,16304,0.05127576054955839
Austria,2018,5-9,761,16304,0.0466756624141315
Austria,2018,5-9,667,16304,0.04091020608439647
Austria,2018,5-9,650,16304,0.039867517173699706
Austria,2018,10+,2703,16304,0.1657875368007851
Austria,2018,10+,1990,16304,0.12205593719332679
Austria,2018,10+,1554,16304,0.09531403336604514
Austria,2018,10+,2285,16304,0.1401496565260059
Austria,2017,0-1,268,16180,0.016563658838071694
Austria,2017,0-1,760,16180,0.04697156983930779
Austria,2017,1-2,983,16180,0.060754017305315204
Austria,2017,3-4,1032,16180,0.06378244746600742
Austria,2017,3-4,945,16180,0.058405438813349815
Austria,2017,5-9,865,16180,0.0534610630407911
Austria,2017,5-9,809,16180,0.05
Austria,2017,5-9,732,16180,0.045241038318912234
Austria,2017,5-9,669,16180,0.04134734239802225
