country,year,duration_std,total_value,value,percent_of_total,continent
Austria,1995,0-1,18204,1625,0.08926609536365634,Europe
Austria,1995,1-2,18204,1412,0.07756537024829707,Europe
Austria,1995,10+,18204,7790,0.42792792792792794,Europe
Austria,1995,3-4,18204,2555,0.1403537684025489,Europe
Austria,1995,5-9,18204,4822,0.26488683805756974,Europe
Austria,1996,0-1,18079,1473,0.08147574533989711,Europe
Austria,1996,1-2,18079,1306,0.07223850876707782,Europe
Austria,1996,10+,18079,7999,0.4424470379998894,Europe
Austria,1996,3-4,18079,2467,0.13645666242601914,Europe
Austria,1996,5-9,18079,4834,0.2673820454671165,Europe
Austria,1997,0-1,18027,1509,0.08370777167581961,Europe
Austria,1997,1-2,18027,1227,0.06806456981194875,Europe
Austria,1997,10+,18027,8063,0.4472735341432296,Europe
Austria,1997,3-4,18027,2513,0.13940200809896267,Europe
Austria,1997,5-9,18027,4715,0.2615521162700394,Europe
Austria,2002,0-1,19918,1440,0.07229641530274124,Europe
Austria,2002,1-2,19918,1260,0.06325936338989858,Europe
Austria,2002,10+,19918,9811,0.4925695350938849,Europe
Austria,2002,3-4,19918,2490,0.12501255146099005,Europe
Austria,2002,5-9,19918,4917,0.2468621347524852,Europe
Austria,2003,0-1,19066,1394,0.07311444456099864,Europe
Austria,2003,1-2,19066,1211,0.06351620686037973,Europe
Austria,2003,10+,19066,9433,0.494755061365782,Europe
Austria,2003,3-4,19066,2521,0.13222490296863526,Europe
Austria,2003,5-9,19066,4507,0.23638938424420433,Europe
Austria,2004,0-1,19590,1618,0.08259315977539561,Europe
Austria,2004,1-2,19590,1443,0.07366003062787137,Europe
Austria,2004,10+,19590,9424,0.4810617662072486,Europe
Austria,2004,3-4,19590,2587,0.13205717202654416,Europe
Austria,2004,5-9,19590,4518,0.23062787136294027,Europe
Austria,2007,0-1,20516,1475,0.07189510625852993,Europe
Austria,2007,1-2,20516,1881,0.09168453889647105,Europe
Austria,2007,10+,20516,9717,0.47363033729771886,Europe
Austria,2007,3-4,20516,3165,0.15426983817508286,Europe
Austria,2007,5-9,20516,4278,0.2085201793721973,Europe
Austria,2008,0-1,19701,1247,0.06329627937668139,Europe
Austria,2008,1-2,19701,1414,0.07177300644637329,Europe
Austria,2008,10+,19701,9592,0.4868788386376326,Europe
Austria,2008,3-4,19701,2957,0.1500939038627481,Europe
Austria,2008,5-9,19701,4491,0.22795797167656465,Europe
Austria,2009,0-1,18806,1237,0.06577687971923854,Europe
Austria,2009,1-2,18806,1093,0.058119749016271406,Europe
Austria,2009,10+,18806,9498,0.5050515792832075,Europe
